LAB_ar,LAB_tr,LAB1,LAB2,LAB3,LAB4,C1,C2,C3,C4,P1,P2,P3,P4,M1,M2,M3,M4
أبهل,ʾBHL,ʾ,B,H,L,1,2,26,23,9,1,9,4,1,1,3,6
أثجل,ʾṮǦL,ʾ,Ṯ,Ǧ,L,1,4,5,23,9,3,5,4,1,3,1,6
أثكل,ʾṮKL,ʾ,Ṯ,K,L,1,4,22,23,9,3,6,4,1,3,1,6
أذرب,ʾḎRB,ʾ,Ḏ,R,B,1,9,10,2,9,3,4,1,1,3,8,1
أسبذ,ʾSBḎ,ʾ,S,B,Ḏ,1,12,2,9,9,4,1,3,1,3,1,3
أسفط,ʾSFṬ,ʾ,S,F,Ṭ,1,12,20,16,9,4,2,4,1,3,3,2
أصطب,ʾṢṬB,ʾ,Ṣ,Ṭ,B,1,14,16,2,9,4,4,1,1,4,2,1
أصفط,ʾṢFṬ,ʾ,Ṣ,F,Ṭ,1,14,20,16,9,4,2,4,1,4,3,2
أفكل,ʾFKL,ʾ,F,K,L,1,20,22,23,9,2,6,4,1,3,1,6
ألبن,ʾLBN,ʾ,L,B,N,1,23,2,25,9,4,1,4,1,6,1,5
ألين,ʾLYN,ʾ,L,Y,N,1,23,28,25,9,4,5,4,1,6,9,5
أنبج,ʾNBǦ,ʾ,N,B,Ǧ,1,25,2,5,9,4,1,5,1,5,1,1
أنتن,ʾNTN,ʾ,N,T,N,1,25,3,25,9,4,4,4,1,5,1,5
أولي,ʾWLY,ʾ,W,L,Y,1,27,23,28,9,6,4,5,1,9,6,9
بأبأ,BʾBʾ,B,ʾ,B,ʾ,2,1,2,1,1,9,1,9,1,1,1,1
بأدل,BʾDL,B,ʾ,D,L,2,1,8,23,1,9,4,4,1,1,1,6
بأزل,BʾZL,B,ʾ,Z,L,2,1,11,23,1,9,4,4,1,1,3,6
بترد,BTRD,B,T,R,D,2,3,10,8,1,4,4,4,1,1,8,1
بثعر,BṮʿR,B,Ṯ,ʿ,R,2,4,18,10,1,3,8,4,1,3,3,8
بجرم,BǦRM,B,Ǧ,R,M,2,5,10,24,1,5,4,1,1,1,8,5
بحتر,BḤTR,B,Ḥ,T,R,2,6,3,10,1,8,4,4,1,3,1,8
بحثر,BḤṮR,B,Ḥ,Ṯ,R,2,6,4,10,1,8,3,4,1,3,3,8
بحدر,BḤDR,B,Ḥ,D,R,2,6,8,10,1,8,4,4,1,3,1,8
بحدل,BḤDL,B,Ḥ,D,L,2,6,8,23,1,8,4,4,1,3,1,6
بحرت,BḤRT,B,Ḥ,R,T,2,6,10,3,1,8,4,4,1,3,8,1
بحزج,BḤZǦ,B,Ḥ,Z,Ǧ,2,6,11,5,1,8,4,5,1,3,3,1
بحشل,BḤŠL,B,Ḥ,Š,L,2,6,13,23,1,8,5,4,1,3,3,6
بحظل,BḤẒL,B,Ḥ,Ẓ,L,2,6,17,23,1,8,3,4,1,3,4,6
بحلس,BḤLS,B,Ḥ,L,S,2,6,23,12,1,8,4,4,1,3,6,3
بختج,BḪTǦ,B,Ḫ,T,Ǧ,2,7,3,5,1,7,4,5,1,3,1,1
بختر,BḪTR,B,Ḫ,T,R,2,7,3,10,1,7,4,4,1,3,1,8
بخثر,BḪṮR,B,Ḫ,Ṯ,R,2,7,4,10,1,7,3,4,1,3,3,8
بخثع,BḪṮʿ,B,Ḫ,Ṯ,ʿ,2,7,4,18,1,7,3,8,1,3,3,3
بخدج,BḪDǦ,B,Ḫ,D,Ǧ,2,7,8,5,1,7,4,5,1,3,1,1
بخدق,BḪDQ,B,Ḫ,D,Q,2,7,8,21,1,7,4,7,1,3,1,1
بخدن,BḪDN,B,Ḫ,D,N,2,7,8,25,1,7,4,4,1,3,1,5
بخذع,BḪḎʿ,B,Ḫ,Ḏ,ʿ,2,7,9,18,1,7,3,8,1,3,3,3
بخذم,BḪḎM,B,Ḫ,Ḏ,M,2,7,9,24,1,7,3,1,1,3,3,5
بخلص,BḪLṢ,B,Ḫ,L,Ṣ,2,7,23,14,1,7,4,4,1,3,6,4
بخند,BḪND,B,Ḫ,N,D,2,7,25,8,1,7,4,4,1,3,5,1
بخنق,BḪNQ,B,Ḫ,N,Q,2,7,25,21,1,7,4,7,1,3,5,1
بخنك,BḪNK,B,Ḫ,N,K,2,7,25,22,1,7,4,6,1,3,5,1
بذبن,BḎBN,B,Ḏ,B,N,2,9,2,25,1,3,1,4,1,3,1,5
بذرج,BḎRǦ,B,Ḏ,R,Ǧ,2,9,10,5,1,3,4,5,1,3,8,1
بذرق,BḎRQ,B,Ḏ,R,Q,2,9,10,21,1,3,4,7,1,3,8,1
بذعر,BḎʿR,B,Ḏ,ʿ,R,2,9,18,10,1,3,8,4,1,3,3,8
بذقر,BḎQR,B,Ḏ,Q,R,2,9,21,10,1,3,7,4,1,3,1,8
بذلخ,BḎLḪ,B,Ḏ,L,Ḫ,2,9,23,7,1,3,4,7,1,3,6,3
بذنج,BḎNǦ,B,Ḏ,N,Ǧ,2,9,25,5,1,3,4,5,1,3,5,1
برأل,BRʾL,B,R,ʾ,L,2,10,1,23,1,4,9,4,1,8,1,6
بربح,BRBḤ,B,R,B,Ḥ,2,10,2,6,1,4,1,8,1,8,1,3
بربخ,BRBḪ,B,R,B,Ḫ,2,10,2,7,1,4,1,7,1,8,1,3
بربس,BRBS,B,R,B,S,2,10,2,12,1,4,1,4,1,8,1,3
بربط,BRBṬ,B,R,B,Ṭ,2,10,2,16,1,4,1,4,1,8,1,2
برتك,BRTK,B,R,T,K,2,10,3,22,1,4,4,6,1,8,1,1
برثج,BRṮǦ,B,R,Ṯ,Ǧ,2,10,4,5,1,4,3,5,1,8,3,1
برثع,BRṮʿ,B,R,Ṯ,ʿ,2,10,4,18,1,4,3,8,1,8,3,3
برثن,BRṮN,B,R,Ṯ,N,2,10,4,25,1,4,3,4,1,8,3,5
برجد,BRǦD,B,R,Ǧ,D,2,10,5,8,1,4,5,4,1,8,1,1
برجس,BRǦS,B,R,Ǧ,S,2,10,5,12,1,4,5,4,1,8,1,3
برجم,BRǦM,B,R,Ǧ,M,2,10,5,24,1,4,5,1,1,8,1,5
برخد,BRḪD,B,R,Ḫ,D,2,10,7,8,1,4,7,4,1,8,3,1
بردج,BRDǦ,B,R,D,Ǧ,2,10,8,5,1,4,4,5,1,8,1,1
بردس,BRDS,B,R,D,S,2,10,8,12,1,4,4,4,1,8,1,3
بردع,BRDʿ,B,R,D,ʿ,2,10,8,18,1,4,4,8,1,8,1,3
