LAB_ar,LAB_tr,LAB1,LAB2,LAB3,LAB4,LAB5,C1,C2,C3,C4,C5,P1,P2,P3,P4,P5,M1,M2,M3,M4,M5
أسبرج,ʾSBRǦ,ʾ,S,B,R,Ǧ,1,12,2,10,5,9,4,1,4,5,1,3,1,8,1
أسمعل,ʾSMʿL,ʾ,S,M,ʿ,L,1,12,24,18,23,9,4,1,8,4,1,3,5,3,6
أصطبل,ʾṢṬBL,ʾ,Ṣ,Ṭ,B,L,1,14,16,2,23,9,4,4,1,4,1,4,2,1,6
أصطفل,ʾṢṬFL,ʾ,Ṣ,Ṭ,F,L,1,14,16,20,23,9,4,4,2,4,1,4,2,3,6
ألعنز,ʾLʿNZ,ʾ,L,ʿ,N,Z,1,23,18,25,11,9,4,8,4,4,1,6,3,5,3
أندرم,ʾNDRM,ʾ,N,D,R,M,1,25,8,10,24,9,4,4,4,1,1,5,1,8,5
أنقلس,ʾNQLS,ʾ,N,Q,L,S,1,25,21,23,12,9,4,7,4,4,1,5,1,6,3
أنكلس,ʾNKLS,ʾ,N,K,L,S,1,25,22,23,12,9,4,6,4,4,1,5,1,6,3
أذربج,ʾḎRBǦ,ʾ,Ḏ,R,B,Ǧ,1,9,10,2,5,9,3,4,1,5,1,3,8,1,1
أصفعد,ʾṢFʿD,ʾ,Ṣ,F,ʿ,D,1,14,20,18,8,9,4,2,8,4,1,4,3,3,1
أطربن,ʾṬRBN,ʾ,Ṭ,R,B,N,1,16,10,2,25,9,4,4,1,4,1,2,8,1,5
برقعد,BRQʿD,B,R,Q,ʿ,D,2,10,21,18,8,1,4,7,8,4,1,8,1,3,1
برهمن,BRHMN,B,R,H,M,N,2,10,26,24,25,1,4,9,1,4,1,8,3,5,5
بعلبك,BʿLBK,B,ʿ,L,B,K,2,18,23,2,22,1,8,4,1,6,1,3,6,1,1
بلعبس,BLʿBS,B,L,ʿ,B,S,2,23,18,2,12,1,4,8,1,4,1,6,3,1,3
بهرمج,BHRMǦ,B,H,R,M,Ǧ,2,26,10,24,5,1,9,4,1,5,1,3,8,5,1
تختنس,TḪTNS,T,Ḫ,T,N,S,3,7,3,25,12,4,7,4,4,4,1,3,1,5,3
جبنثق,ǦBNṮQ,Ǧ,B,N,Ṯ,Q,5,2,25,4,21,5,1,4,3,7,1,1,5,3,1
جحمرش,ǦḤMRŠ,Ǧ,Ḥ,M,R,Š,5,6,24,10,13,5,8,1,4,5,1,3,5,8,3
جحنبر,ǦḤNBR,Ǧ,Ḥ,N,B,R,5,6,25,2,10,5,8,4,1,4,1,3,5,1,8
جردحل,ǦRDḤL,Ǧ,R,D,Ḥ,L,5,10,8,6,23,5,4,4,8,4,1,8,1,3,6
جرندق,ǦRNDQ,Ǧ,R,N,D,Q,5,10,25,8,21,5,4,4,4,7,1,8,5,1,1
جرنفش,ǦRNFŠ,Ǧ,R,N,F,Š,5,10,25,20,13,5,4,4,2,5,1,8,5,3,3
جعفلق,ǦʿFLQ,Ǧ,ʿ,F,L,Q,5,18,20,23,21,5,8,2,4,7,1,3,3,6,1
جعفلن,ǦʿFLN,Ǧ,ʿ,F,L,N,5,18,20,23,25,5,8,2,4,4,1,3,3,6,5
جعنظر,ǦʿNẒR,Ǧ,ʿ,N,Ẓ,R,5,18,25,17,10,5,8,4,3,4,1,3,5,4,8
جنحدل,ǦNḤDL,Ǧ,N,Ḥ,D,L,5,25,6,8,23,5,4,8,4,4,1,5,3,1,6
جنفلق,ǦNFLQ,Ǧ,N,F,L,Q,5,25,20,23,21,5,4,2,4,7,1,5,3,6,1
حبرقس,ḤBRQS,Ḥ,B,R,Q,S,6,2,10,21,12,8,1,4,7,4,3,1,8,1,3
حبرقص,ḤBRQṢ,Ḥ,B,R,Q,Ṣ,6,2,10,21,14,8,1,4,7,4,3,1,8,1,4
حبركل,ḤBRKL,Ḥ,B,R,K,L,6,2,10,22,23,8,1,4,6,4,3,1,8,1,6
حبقنق,ḤBQNQ,Ḥ,B,Q,N,Q,6,2,21,25,21,8,1,7,4,7,3,1,1,5,1
حبلبس,ḤBLBS,Ḥ,B,L,B,S,6,2,23,2,12,8,1,4,1,4,3,1,6,1,3
حبنبر,ḤBNBR,Ḥ,B,N,B,R,6,2,25,2,10,8,1,4,1,4,3,1,5,1,8
حذرفت,ḤḎRFT,Ḥ,Ḏ,R,F,T,6,9,10,20,3,8,3,4,2,4,3,3,8,3,1
حرنقف,ḤRNQF,Ḥ,R,N,Q,F,6,10,25,21,20,8,4,4,7,2,3,8,5,1,3
حفرضض,ḤFRḌḌ,Ḥ,F,R,Ḍ,Ḍ,6,20,10,15,15,8,2,4,4,4,3,3,8,7,7
حنبتر,ḤNBTR,Ḥ,N,B,T,R,6,25,2,3,10,8,4,1,4,4,3,5,1,1,8
حنبرت,ḤNBRT,Ḥ,N,B,R,T,6,25,2,10,3,8,4,1,4,4,3,5,1,8,1
حندلس,ḤNDLS,Ḥ,N,D,L,S,6,25,8,23,12,8,4,4,4,4,3,5,1,6,3
حنزقر,ḤNZQR,Ḥ,N,Z,Q,R,6,25,11,21,10,8,4,4,7,4,3,5,3,1,8
خبرجل,ḪBRǦL,Ḫ,B,R,Ǧ,L,7,2,10,5,23,7,1,4,5,4,3,1,8,1,6
خبرنج,ḪBRNǦ,Ḫ,B,R,N,Ǧ,7,2,10,25,5,7,1,4,4,5,3,1,8,5,1
خبعثن,ḪBʿṮN,Ḫ,B,ʿ,Ṯ,N,7,2,18,4,25,7,1,8,3,4,3,1,3,3,5
خدرنق,ḪDRNQ,Ḫ,D,R,N,Q,7,8,10,25,21,7,4,4,4,7,3,1,8,5,1
خذرنق,ḪḎRNQ,Ḫ,Ḏ,R,N,Q,7,9,10,25,21,7,3,4,4,7,3,3,8,5,1
خزبزر,ḪZBZR,Ḫ,Z,B,Z,R,7,11,2,11,10,7,4,1,4,4,3,3,1,3,8
خزرنق,ḪZRNQ,Ḫ,Z,R,N,Q,7,11,10,25,21,7,4,4,4,7,3,3,8,5,1
خزعبل,ḪZʿBL,Ḫ,Z,ʿ,B,L,7,11,18,2,23,7,4,8,1,4,3,3,3,1,6
خزنبل,ḪZNBL,Ḫ,Z,N,B,L,7,11,25,2,23,7,4,4,1,4,3,3,5,1,6
خفرضض,ḪFRḌḌ,Ḫ,F,R,Ḍ,Ḍ,7,20,10,15,15,7,2,4,4,4,3,3,8,7,7
خنبلس,ḪNBLS,Ḫ,N,B,L,S,7,25,2,23,12,7,4,1,4,4,3,5,1,6,3
خندرس,ḪNDRS,Ḫ,N,D,R,S,7,25,8,10,12,7,4,4,4,4,3,5,1,8,3
خندلس,ḪNDLS,Ḫ,N,D,L,S,7,25,8,23,12,7,4,4,4,4,3,5,1,6,3
